0;#;FORM;LEMMA;GRAM;FEAT;COMMENT;CHECKED;CONTEXT;RIGHT1;RIGHT2;RIGHT3;RIGHT4;RIGHT5;RIGHT6;POS;AUTO_LEMMA;AUTO_GRAM;AUTO_FEAT;RIGHT_Lemma
38594;# doc = VLOG Тестируем КАМЕРУ/РАЗГОВОРЫ С КОШКОЙ 2.01.2017;;;;_;;;;;;;;;;;;;;
38595;# media = https://www.youtube.com/watch?v=pZ7Gl1mpqKI&feature=youtu.be&t=10m07s;;;;_;;;;;;;;;;;;;;
38596;;;;;_;;;;;;;;;;;;;;
38597;"<speech role=""Наташа"" gender=""жен"" profession=""парикмахер"" age=""28"" birthyear=""1989"" birthplace=""Владимир"" region=""Владимирская область"" education=""среднее"">";;;;_;;;;;;;;;;;;;;
38598;# sent_id = 1;;;;_;;;;;;;;;;;;;;
38599;;Валера;валера;S;persn,mf,anim=nom,sg;;;   Валера тестирует новую игру;а;р;е;л;а;В;;валера;S;_;а
38600;;тестирует;тестировать;V;ipf=praes,sg,indic,3p,tran;;;  Валера тестирует новую игру . ;т;е;у;р;и;т;;тестировать;V;_;ь
38601;;новую;новый;A;acc,sg,plen,f;;; Валера тестирует новую игру .  ;ю;у;в;о;н;;;новый;A;_;й
38602;;игру;игра;S;f,inan=acc,sg;;;Валера тестирует новую игру .   ;у;р;г;и;;;;игра;S;_;а
38603;;. ;. ;PUNCT;_;;;;;;;;;;;. ;PUNCT;_;
38604;;;;;_;;;;;;;;;;;;;;
38605;# sent_id = 2;;;;_;;;;;;;;;;;;;;
38606;;Меня;я;SPRO;sg,1p=gen;;;.    Меня ...  ;я;н;е;М;;;;я;SPRO;_;я
38607;;...;...;PUNCT;_;;;;;;;;;;;...;PUNCT;_;
38608;;;;;_;;;;;;;;;;;;;;
38609;</speech>;;;;_;;;;;;;;;;;;;;
38610;;;;;_;;;;;;;;;;;;;;
38611;"<speech role=""Валера"" gender=""муж"" profession=""фотограф"" age=""28"" birthyear=""1989"" birthplace=""Владимир"" region=""Владимирская область"" education=""высшее"">";;;;_;;;;;;;;;;;;;;
38612;# sent_id = 3;;;;_;;;;;;;;;;;;;;
38613;;Наташа;наташа;S;persn,f,anim=nom,sg;;;   Наташа боится вот этого;а;ш;а;т;а;Н;;наташа;S;_;а
38614;;боится;бояться;V;ipf,intr=praes,sg,indic,3p;;;  Наташа боится вот этого чувака;я;с;т;и;о;б;;бояться;V;_;я
38615;;вот;вот;PART;_;;; Наташа боится вот этого чувака .;т;о;в;;;;;вот;PART;_;т
38616;;этого;этот;APRO;gen,sg,m;;;Наташа боится вот этого чувака . ;о;г;о;т;э;;;этот;APRO;_;т
38617;;чувака;чувак;S;m,inan=gen,sg;;;боится вот этого чувака .  ;а;к;а;в;у;ч;;чувак;S;_;к
38618;;.;.;PUNCT;_;;;;;;;;;;;.;PUNCT;_;
38619;;;;;_;;;;;;;;;;;;;;
38620;</speech>;;;;_;;;;;;;;;;;;;;
38621;;;;;_;;;;;;;;;;;;;;
38622;"<speech role=""Наташа"" gender=""жен"" profession=""парикмахер"" age=""28"" birthyear=""1989"" birthplace=""Владимир"" region=""Владимирская область"" education=""среднее"">";;;;_;;;;;;;;;;;;;;
38623;;Меня;я;SPRO;sg,1p=acc;;;   Меня пугает вот это;я;н;е;М;;;;я;SPRO;_;я
38624;;пугает;пугать;V;ipf,tran=praes,sg,indic,3p;;;  Меня пугает вот это вот;т;е;а;г;у;п;;пугать;V;_;ь
38625;;вот;вот;PART;_;;; Меня пугает вот это вот ... ;т;о;в;;;;;вот;PART;_;т
38626;;это;это;PART;_;;;Меня пугает вот это вот ...  просто;о;т;э;;;;;это;PART;_;о
38627;;вот;вот;PART;_;;;пугает вот это вот ...  просто ;т;о;в;;;;;вот;PART;_;т
38628;;... ;... ;PUNCT;_;;;;;;;;;;;... ;PUNCT;_;
38629;;просто;просто;PART;_;;;это вот ...  просто  зверь ... ;о;т;с;о;р;п;;просто;ADV;_;о
38630;"<distinct form=""з""></distinct>";;;;_;;;;;;;;;;;;;;
38631;;зверь;зверь;S;m,anim=nom,sg;;;...  просто  зверь ...  зверь . ;ь;р;е;в;з;;;зверь;S;_;ь
38632;;... ;... ;PUNCT;_;;;;;;;;;;;... ;PUNCT;_;
38633;;зверь;зверь;S;m,anim=nom,sg;;; зверь ...  зверь .   ;ь;р;е;в;з;;;зверь;S;_;ь
38634;;. ;. ;PUNCT;_;;;;;;;;;;;. ;PUNCT;_;
38635;;;;;;;;;;;;;;;;;;;
38636;# sent_id = 4;;;;_;;;;;;;;;;;;;;
38637;;Нет;нет;PART;_;;;.    Нет ,  вот с;т;е;Н;;;;;нет;PART;_;т
38638;;, ;, ;PUNCT;_;;;;;;;;;;;, ;PUNCT;_;
38639;;вот;вот;PART;_;;; Нет ,  вот с одной стороны;т;о;в;;;;;вот;PART;_;т
38640;;с;с;PR;_;;;Нет ,  вот с одной стороны вроде;с;;;;;;;с;PR;_;с
38641;;одной;один;APRO;gen,sg,f;;;,  вот с одной стороны вроде он;й;о;н;д;о;;;один;APRO;_;н
38642;;стороны;сторона;S;f,inan=gen,sg;;;вот с одной стороны вроде он нормальный;ы;н;о;р;о;т;;сторона;S;_;а
38643;;вроде;вроде;PART;_;;;с одной стороны вроде он нормальный , ;е;д;о;р;в;;;вроде;PART;_;е
38644;;он;он;SPRO;sg,3p,m=nom;;;одной стороны вроде он нормальный ,  не;н;о;;;;;;он;SPRO;_;н
38645;;нормальный;нормальный;A;nom,sg,plen,m;;;стороны вроде он нормальный ,  не страшный;й;ы;н;ь;л;а;;нормальный;A;_;й
38646;;, ;, ;PUNCT;_;;;;;;;;;;;, ;PUNCT;_;
38647;;не;не;PART;_;;;он нормальный ,  не страшный ,  но;е;н;;;;;;не;PART;_;е
38648;;страшный;страшный;A;nom,sg,plen,m;;;нормальный ,  не страшный ,  но когда;й;ы;н;ш;а;р;;страшный;A;_;й
38649;;, ;, ;PUNCT;_;;;;;;;;;;;, ;PUNCT;_;
38650;;но;но;CONJ;_;;;не страшный ,  но когда он прыгает;о;н;;;;;;но;CONJ;_;о
38651;;когда;когда;CONJ;_;;;страшный ,  но когда он прыгает и;а;д;г;о;к;;;когда;CONJ;_;а
38652;;он;он;SPRO;sg,3p,m=nom;;;,  но когда он прыгает и -;н;о;;;;;;он;SPRO;_;н
38653;;прыгает;прыгать;V;ipf,intr=praes,sg,indic,3p;;;но когда он прыгает и - и;т;е;а;г;ы;р;;прыгать;V;_;ь
38654;;и;и;CONJ;_;;;когда он прыгает и - и дышит;и;;;;;;;и;CONJ;_;и
38655;;-;-;PUNCT;_;;;;;;;;;;;-;PUNCT;_;
38656;;и;и;CONJ;_;;;прыгает и - и дышит ,  это;и;;;;;;;и;CONJ;_;и
38657;;дышит;дышать;V;ipf,intr=praes,sg,indic,3p;;;и - и дышит ,  это просто;т;и;ш;ы;д;;;дышать;V;_;ь
38658;;, ;, ;PUNCT;_;;;;;;;;;;;, ;PUNCT;_;
38659;;это;это;SPRO;_;;;и дышит ,  это просто ,  ;о;т;э;;;;;это;SPRO;_;о
38660;;просто;просто;PART;_;;;дышит ,  это просто ,   вообще;о;т;с;о;р;п;;просто;ADV;_;о
38661;;, ;, ;PUNCT;_;;;;;;;;;;;, ;PUNCT;_;
38662;"<distinct form=""ваще""></distinct>";;;;_;;;;;;;;;;;;;;
38663;;вообще;вообще;PRAEDIC;_;;;просто ,   вообще ,  жуть какая-то;е;щ;б;о;о;в;;вообще;PRAEDIC;_;е
38664;;, ;, ;PUNCT;_;;;;;;;;;;;, ;PUNCT;_;
38665;;жуть;жуть;S;f,inan=nom,sg;;; вообще ,  жуть какая-то .  ;ь;т;у;ж;;;;жуть;S;_;ь
38666;;какая-то;какой-то;APRO;nom,sg,f;;;вообще ,  жуть какая-то .   ;о;т;-;я;а;к;;какой-то;APRO;_;о
38667;;. ;. ;PUNCT;_;;;;;;;;;;;. ;PUNCT;_;
38668;;;;;_;;;;;;;;;;;;;;
38669;</speech>;;;;_;;;;;;;;;;;;;;
38670;;;;;_;;;;;;;;;;;;;;
38671;"<speech role=""Валера"" gender=""муж"" profession=""фотограф"" age=""28"" birthyear=""1989"" birthplace=""Владимир"" region=""Владимирская область"" education=""высшее"">";;;;_;;;;;;;;;;;;;;
38672;;Он;он;SPRO;sg,3p,m=nom;;;   Он хочет залезть .;н;О;;;;;;он;SPRO;_;н
38673;;хочет;хотеть;V;ipf,tran=praes,sg,indic,3p;;;  Он хочет залезть . ;т;е;ч;о;х;;;хотеть;V;_;ь
38674;;залезть;залезть;V;intr=inf,pf;;; Он хочет залезть .  ;ь;т;з;е;л;а;;залезть;V;_;ь
38675;;.;.;PUNCT;_;;;;;;;;;;;.;PUNCT;_;
38676;;;;;_;;;;;;;;;;;;;;
38677;https://www.youtube.com/watch?v=pZ7Gl1mpqKI&feature=youtu.be&t=10m25s;;;;_;;;;;;;;;;;;;;
38678;;;;;_;;;;;;;;;;;;;;
38679;</speech>;;;;_;;;;;;;;;;;;;;
38680;;;;;_;;;;;;;;;;;;;;
38681;"<speech role=""Наташа"" gender=""жен"" profession=""парикмахер"" age=""28"" birthyear=""1989"" birthplace=""Владимир"" region=""Владимирская область"" education=""среднее"">";;;;_;;;;;;;;;;;;;;
38682;;Он;он;SPRO;sg,3p,m=nom;;;   Он очень тяжело и;н;О;;;;;;он;SPRO;_;н
38683;;очень;очень;ADV;_;;;  Он очень тяжело и страшно;ь;н;е;ч;о;;;очень;ADV;_;ь
38684;;тяжело;тяжело;ADV;_;;; Он очень тяжело и страшно дышит;о;л;е;ж;я;т;;тяжело;ADV;_;о
38685;;и;и;CONJ;_;;;Он очень тяжело и страшно дышит , ;и;;;;;;;и;CONJ;_;и
38686;;страшно;страшно;ADV;_;;;очень тяжело и страшно дышит ,  как;о;н;ш;а;р;т;;страшно;ADV;_;о
38687;;дышит;дышать;V;ipf,intr=praes,sg,indic,3p;;;тяжело и страшно дышит ,  как будто;т;и;ш;ы;д;;;дышать;V;_;ь
38688;;, ;, ;PUNCT;_;;;;;;;;;;;, ;PUNCT;_;
38689;;как;как;ADVPRO;_;;;страшно дышит ,  как будто смерть какая-то;к;а;к;;;;;как;ADVPRO;_;к
38690;;будто;будто;PART;_;;;дышит ,  как будто смерть какая-то пришла;о;т;д;у;б;;;будто;PART;_;о
38691;;смерть;смерть;S;f,inan=nom,sg;;;,  как будто смерть какая-то пришла . ;ь;т;р;е;м;с;;смерть;S;_;ь
38692;;какая-то;какой-то;APRO;nom,sg,f;;;как будто смерть какая-то пришла .  ;о;т;-;я;а;к;;какой-то;APRO;_;о
38693;;пришла;прийти;V;intr=praet,sg,indic,f,pf;;;будто смерть какая-то пришла .   ;а;л;ш;и;р;п;;прийти;V;_;и
38694;;. ;. ;PUNCT;_;;;;;;;;;;;. ;PUNCT;_;
